Tool,UTID,SO_FID,Customer ,tool_status,Open_Date,Ship_Date,Comment,Handler,K_MAT,WO1,Tester_Type,WO2,BBSE,WO3,WLR_FD,WO4,OPTION_LDSR,WO5,UVR_eUVR,WO6,AiD_SSiD,WO7,Compensator,WO8,MSWAVECAL,WO9,NLR_Ceramic_Chuck,WO10,Others,IS_SHIPPED
Viking SS11K_m,7272595,0,KLA,CA,5-Mar,19-Apr,,,,,"Tester SS11K_M 
0750868-000 ",1060677,"0750855-000 
FEATURE,2.5UM IRSE",1060678,"0712159-000 
LDSR INTEGRATION",1060679,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1069335,,,,,1,0
Viking SS12K,7272623,0,KLA,CA,22-Apr,3-Jan,,,,,"Tester SS11K 
0745640-000",1061317,"0714778-000 
FEATURE,BBSE,SS11K-i",1061318,"0712159-000 
LDSR INTEGRATION",1061319,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1069335,,,"0676538-000 OPTION,940NM LED,PR,LDSR",1079219,1,0
F10,7272982,117898,GLOBALFOUNDRIES DRESDEN MODULE ONE,FI,31-Oct,16-Jan,,,,,"Tester SS11K 
0745640-000",1072038,"0629129-000 
XMSE Cascaded",1072069,"0712159-000 
LDSR INTEGRATION",1072070,"0750201-000 
OPTION,LDSR-HR,SS11K",,"0748073-000
 OPTION,SWE-EP,SS11K",1072071,"0635154-000 
SSiD",1072072,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1072077,"0614958-000 OPTION,MSWAVECAL",1072073,"0623771-000 OPTION,FOG,F1",1072074,1,0
F10,7273086,4118020,TSMC FAB 12 P7,KLA, , ,,,,,"Tester SS11KI
0715134-000",1075666,"0714778-000 
FEATURE,BBSE,SS11K-i",1075667,"0828180-000
OPTION,DIGITAL NAVIGATION SYSTEM,SS11K",1075669,,,"0748073-000
 OPTION,SWE-EP,SS11K",1075671,,,"0804803-000
OPTION,COMPENSATOR,F10",1075672, ,,,,1,0
F10,7273099,125121,TSMC FAB 12 P7,OI,23-Jan,23-Mar,,,,,Tester 0745640-000,1076489,"0714778-000 
FEATURE,BBSE,SS11K-i",1076490,"0828180-000
OPTION,DIGITAL NAVIGATION SYSTEM,SS11K",1076491,,,"0748073-000
 OPTION,SWE-EP,SS11K",1076492,,,"0804803-000
OPTION,COMPENSATOR,F10",1076493,,,,,1,0
F10,7273128,126771,SAMSUNG P2L,OI,24-Jan,12-Apr,,,,,Tester 0745640-000,1076566,"0837211-000
FEATURE IRSE 2.5UM,HS,F10",1078718,"0712159-000 
LDSR INTEGRATION",1076567,"0825352-000
ASSY,OPTICS,LDSR-HR,F10",,"0748073-000
 OPTION,SWE-EP,SS11K",1076568,0635154-000,1077515,"0804803-000
OPTION,COMPENSATOR,F10",1076569,"0614958-000 OPTION,MSWAVECAL",1076570,,,1,0
Aleris 8350,7273106,120021,INTEL IRELAND LTD FAB 24,KLA,27-Jan,5-Apr,,H000317188,0221125-000,1083197,Tester 0221128-000,1076700,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1076701,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1076702,,,,,,,,,,,,,1,0
Aleris 8350 1274,7273126,116638,INTEL CORPORATION FAB 11X,KLA,27-Jan,12-Apr,,H000317234,0346156-000,1083105,Tester 0343668-000,1076703,"0100224-000 
FEATURE,BBSE,240/UV,ALERIS 8350",1076704,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1076705,,,,,,,,,,,,,1,0
Viking SS11K_m,7273114,122754,SK HYNIX SEMICONDUCTOR (CHINA) C2F,KLA,1-Mar,3-Apr,,H000317006,0756702-000,1080252,"Tester SS11K_M 
0750868-000 ",1078276,"0750855-000 
FEATURE,2.5UM IRSE",1078297,,,0828181-000-Option DNS,1078303,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1078304,,,,,1,0
Aleris 8370,7273097,123416,SAMSUNG P2F,KLA,2-Mar,7-Apr,,H000317016,0221125-000,1079749,Tester 0221128-000,1078417,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1078418,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1078419,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1078420,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1078421,,,1,0
Viking SS11K_m,7273120,121784,SK HYNIX SEMICONDUCTOR (CHINA) C2F,KLA,6-Mar,6-Apr,,H000317151,0756702-000,1080686,"Tester SS11K_M 
0750868-000 ",1078528,"0750855-000 
FEATURE,2.5UM IRSE",1078529,,,0828181-000-Option DNS,1078530,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1078531,,,,,1,0
LD10,7273124,118030,STMICROELECTRONICS (CROLLES 2) SAS,KLA,7-Mar,11-Apr,,H000317226,0523938-000,1080826,"TESTER – LD 10
0511938-000",1078550,"IRSE A-B
0598134-000",1078552,"WLR for SF LD 10
0353539-000",1078554,,,"0556087-000
KIT,SWE-2,SHELBY",1078557,"0510619-000
OPTION,SSID/SWE/SHELBY",1078555,"OPTION,940NM LED,WLR/PR
0676544-000",1078556,,,,,1,0
Viking LS11K,7273066,119118,INTEL IRELAND LTD FAB 24,KLA,9-Mar,3-May,,H000317351,0773971-000,1082792,"0757019-000
TESTER,LITHOSHAPE 11K",1078720,"0756154-000
FEATURE,BBSE,LS11K",1078721,"0755684-000 
KIT,INTEGRATION,LDSR,LS11K",1078722,"0575683-000
OPTION,LDSR",,,,,,"0715121-000
Copensator",1078724,,,,,1,0
Aleris 8370,7273092,,SAMSUNG P3,KLA-Vilar ,15-Mar,17-Apr,,H000317169,0221125-000,1083148,Tester 0221128-000,1078934,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1078935,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1078936,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1078937,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1078938,,,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0
Viking F1,7273132,120693,TSMC FAB 18 P5,KLA,15-Mar,14-Apr,,H000317214,0634468-000,1080399,Tester 0614033-000,1078940,"0629129-000 
XMSE Cascaded",1078941,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1078942,,,"0607019-000 
OPTION,SWE-EP",1078943,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1078946,"0614958-000 OPTION,MSWAVECAL",1078944,"0623771-000 OPTION,FOG,F1",1078945,,0
SF 8660,7273135,120503,SOITEC SA,KLA-Vilar ,23-Mar,27-Apr,,H000317252,0809023-000,1082474,Tester - 0754738-000,1079231,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1079233,"0100231-001 
FEATURE,WLR,ALERIS",1079234,,,,,,,,,,,,,1,0
Aleris 8370,7273121,125359,SAMSUNG P3,KLA-Vilar ,24-Mar,1-May,,H000317288,0221125-000,1081489,Tester 0221128-000,1079270,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1079271,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1079272,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1079273,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1079274,,,1,0
Aleris 8370,7273133,123422,SAMSUNG XIAN FAB,KLA-Vilar ,24-Mar,21-Apr,,H000317091,0221125-000,1081402,Tester 0221128-000,1079290,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1079291,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1079292,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1079293,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1079294,,,1,0
Viking SS11K_m,7273152,125823,SK HYNIX M14-2,KLA,27-Mar,2-May,,H000317123,0756702-000,1083311,"Tester SS11K_M 
0750868-000 ",1079348,"0750855-000 
FEATURE,2.5UM IRSE",1079349,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079350,,,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079351,,,,,1,0
Viking SS11K_m,7273153,125425,SK HYNIX SEMICONDUCTOR (CHINA) C2F,KLA,27-Mar,4-May,,H000317093,0756702-000,1081648,"Tester SS11K_M 
0750868-000 ",1079357,"0750855-000 
FEATURE,2.5UM IRSE",1079358,,,0828181-000-Option DNS,1079359,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1079360,,,,,1,0
Viking F1,7273158,120701,TSMC FAB 18 P5,KLA,27-Mar,8-May,,H000317245,0634468-000,1081497,Tester 0614033-000,1079387,"0629129-000 
XMSE Cascaded",1079388,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079389,,,"0607019-000 
OPTION,SWE-EP",1079390,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1079391,"0614958-000 OPTION,MSWAVECAL",1079392,"0623771-000 OPTION,FOG,F1",1079393,,0
Viking F1,7273150,120706,TSMC FAB 18 P5,KLA,27-Mar,11-May,,H000317304,0634468-000,1081878,Tester 0614033-000,1079459,"0629129-000 
XMSE Cascaded",1079460,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1079463,,,"0607019-000 
OPTION,SWE-EP",1079464,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1079465,"0614958-000 OPTION,MSWAVECAL",1079466,"0623771-000 OPTION,FOG,F1",1079467,,0
